147,23340
314,53015
193,17834
578,50675
575,37276
943,30767
997,2554
469,48977
1206,48378
426,49648
822,509
1093,4436
222,6156
663,21151
985,962
49,43233
482,3918
169,6213
455,25488
198,52631
745,43195
403,38079
658,23099
425,27440
1009,4719
73,42928
560,28760
716,15224
1112,39709
121,1165
723,18478
363,40529
142,8306
722,34403
994,55636
116,39534
795,4665
562,16297
704,26646
884,28047
420,54415
411,10458
1128,20495
152,1324
292,3035
276,9643
309,27862
751,36140
448,11326
993,54451
475,34879
568,19367
958,50604
372,50538
1195,8643
749,24055
196,629
89,42972
699,35458
458,5176
748,24865
653,46516
299,44717
1100,21257
1117,1436
1120,27362
78,45932
897,6366
677,42088
250,32027
277,26037
1182,16900
325,19702
998,35449
741,38107
849,36711
203,38103
21,17585
470,1928
1105,10582
618,11809
66,21282
450,47534
991,30799
83,26140
337,24434
700,11378
915,15326
417,27240
374,19332
981,29322
765,50532
1048,19047
812,25822
620,7922
13,14434
125,24349
398,16237
373,46697
682,35278
437,23283
1200,36012
1173,48906
218,11285
1114,25226
46,52560
268,418
244,28370
564,51255
665,42815
165,32041
1212,43870
640,45660
257,28968
484,44667
726,42771
558,50444
320,19620
627,41032
30,27064
405,14398
386,40168
278,19977
365,48451
615,49025
434,38767
834,29552
392,53643
95,2550
1038,51077
1198,54634
660,39386
688,798
43,31045
724,16171
759,53581
614,19299
1205,30910
254,53123
449,50454
288,49934
178,10206
34,31833
157,2012
1178,35446
1115,1342
227,24524
818,2404
315,38953
430,32448
1065,12363
802,40329
739,3541
356,36484
635,44254
1156,11557
522,33892
357,38348
729,55729
251,1847
1051,53394
880,53842
1220,8223
498,45388
435,37930
1022,11410
88,14243
570,30311
938,29257
1136,17059
486,36522
1015,6564
996,7444
917,31648
785,10196
1189,41092
1152,26271
975,48916
304,219
1083,17106
644,53192
1215,9715
843,46937
811,8303
866,39637
41,38741
563,19301
1082,35322
1072,25153
888,3032
163,5489
875,44542
983,40908
1130,20757
916,35211
986,32169
840,33822
172,32990
604,25381
792,42288
1157,39873
135,50448
229,44240
695,23997
691,15419
170,54964
245,2936
1037,51120
1193,41101
737,6272
1174,11603
543,23938
355,54703
406,30438
731,51628
982,37064
572,26684
362,10883
347,53399
872,10135
599,14378
141,31707
189,38303
907,11293
159,24220
65,51395
710,50266
100,15106
1087,47761
150,16989
810,27658
545,54409
854,50603
1060,24462
946,2434
294,51206
48,12196
813,13306
668,48900
953,46672
1036,23840
1108,29471
1179,42457
327,6094
1199,53173
541,27183
676,17894
1143,5433
497,46681
1025,44756
465,22781
353,52299
158,39590
964,29137
385,37517
858,17945
115,3070
399,51916
377,13958
258,15182
494,20060
666,3240
685,35516
1002,37921
213,6484
192,21870
868,11164
1043,51033
687,31156
480,26605
617,21710
1191,31626
519,49947
791,10427
71,54424
546,5758
1000,15920
727,42323
3,20762
589,34563
228,28967
758,52207
965,54829
900,51324
344,5751
586,54365
1024,51363
371,48981
890,10108
68,24735
702,53965
445,17079
120,38928
206,38976
483,44671
1208,31360
305,30136
424,32486
493,55211
588,54185
706,55188
201,28026
650,48253
51,29843
647,19125
626,7467
597,47102
11,52735
52,29591
98,19309
853,42829
